protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,VY8503,VY8503
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,2.0,MX8432,MX8432
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,17.0,MX8432,MX8432
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,MX8432,MX8432
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,124.798817,MX8432,MX8432
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,MX8432,MX8432
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,124.45858,MX8436,MX8436
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,3.0,MX8436,MX8436
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,MX8436,MX8436
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,MX8436,MX8436
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,16.0,MX8436,MX8436
